customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,vehicle_type
FR48094,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small,A
DY27653,Oregon,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,B
OH69760,Arizona,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Large,B
CH50584,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,SUV,Small,A
WM19996,California,No,Basic,Bachelor,Employed,M,Urban,Divorced,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Medsize,A
ZH92587,Oregon,No,Basic,College,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
CJ51511,Arizona,Yes,Basic,High School or Below,Disabled,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize,B
ME37450,Arizona,No,Basic,Bachelor,Employed,M,Rural,Single,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Medsize,A
KO86181,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Small,A
KD63933,California,No,Basic,College,Medical Leave,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Luxury SUV,Medsize,B
CM66204,Arizona,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Large,B
NV13794,Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Small,B
HF75891,Washington,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,B
NB81923,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize,A
AV96010,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize,B
CA22248,Oregon,No,Basic,Master,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,A
PK23339,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,A
JY66887,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Luxury Car,Medsize,B
NH16984,California,No,Extended,Bachelor,Unemployed,F,Urban,Divorced,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Medsize,B
UV12583,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,SUV,Medsize,A
VG56765,Arizona,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize,A
AK11669,Arizona,No,Extended,Doctor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Branch,Two-Door Car,Medsize,A
SZ60450,California,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Two-Door Car,Medsize,B
MS87381,California,No,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,A
LP47259,Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Sports Car,Medsize,A
No31089,Arizona,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,B
SD83603,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize,A
TK65222,California,No,Premium,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large,B
HB48073,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize,A
DO60145,Arizona,Yes,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,B
BA40043,California,No,Basic,College,Employed,M,Rural,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,B
EC28398,Oregon,Yes,Basic,Master,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Small,A
FE99816,Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Web,Luxury Car,Medsize,A
HS39343,Washington,No,Basic,Bachelor,Disabled,F,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Luxury Car,Medsize,A
GL44478,Oregon,No,Extended,High School or Below,Disabled,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Sports Car,Medsize,B
EF84269,California,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize,A
RD22761,Washington,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,A
DO41287,Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,A
OO89057,California,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,B
DQ92905,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,Four-Door Car,Medsize,B
EW33419,California,Yes,Basic,High School or Below,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,SUV,Medsize,A
KH16079,Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,A
GU99037,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize,B
BM92346,California,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Small,B
TE60343,Unknown,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize,A
RU75949,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Sports Car,Medsize,B
PP35705,California,No,Extended,High School or Below,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Small,B
ZM45168,Oregon,No,Basic,College,Disabled,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
SH93005,California,Yes,Extended,College,Retired,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
QK24293,Unknown,No,Extended,Doctor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Medsize,B
CJ72056,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,B
ZY20779,Washington,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize,B
BP28492,Arizona,Yes,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize,A
AN67558,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Large,B
ZJ90079,Arizona,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer3,Agent,Four-Door Car,Small,B
GS85403,Washington,Yes,Extended,Master,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Branch,Sports Car,Medsize,A
SK95364,California,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,SUV,Medsize,A
UI80897,Washington,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer4,Call Center,Two-Door Car,Large,A
OJ65428,Nevada,No,Premium,College,Disabled,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,B
WP64059,California,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Call Center,Two-Door Car,Medsize,A
IP52990,Oregon,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,SUV,Medsize,A
VF36700,Oregon,No,Extended,Master,Retired,F,Urban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
NR16284,California,Yes,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Small,A
AB13432,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,B
XX53620,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Branch,Four-Door Car,Small,A
AZ38648,Washington,Yes,Basic,Master,Retired,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,B
HB24005,California,No,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
AV76907,Oregon,Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,B
ER97256,Arizona,Yes,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
CJ97736,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small,B
AZ64856,California,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,SUV,Large,A
SA88518,Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize,A
ED61615,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small,B
JG35886,Unknown,No,Premium,College,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,A
MW48891,Washington,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,Sports Car,Medsize,A
DB26077,Arizona,No,Extended,High School or Below,Retired,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize,B
RL31641,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize,B
KX55910,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Small,A
PJ86059,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,B
QB47024,Washington,No,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
LG64797,California,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Luxury SUV,Medsize,B
TP34946,California,No,Basic,College,Disabled,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Branch,Four-Door Car,Medsize,B
OO63074,California,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,SUV,Medsize,B
JL70559,Arizona,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small,A
TW73441,Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,A
PZ47901,Arizona,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize,A
FV22585,Unknown,No,Extended,College,Employed,M,Rural,Divorced,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize,B
AU23837,Unknown,No,Basic,Bachelor,Employed,F,Urban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Large,A
YN39714,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,B
HX74855,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
ME44353,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer3,Call Center,Four-Door Car,Medsize,B
CV40610,California,No,Premium,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,Two-Door Car,Medsize,A
MV69686,Oregon,No,Extended,Doctor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large,A
IB67546,California,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Small,A
AV93209,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
OZ41737,Oregon,No,Basic,Doctor,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large,B
QQ39596,Arizona,No,Basic,College,Unemployed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,B
DQ19343,California,No,Basic,High School or Below,Employed,F,Urban,Single,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Medsize,B
IG89777,California,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Two-Door Car,Large,A
SH48087,California,No,Extended,College,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,B
FL82372,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,A
WJ57919,California,Yes,Basic,College,Employed,M,Suburban,Single,Special Auto,Special L3,Offer2,Call Center,Four-Door Car,Small,B
CI60365,California,Yes,Basic,High School or Below,Employed,F,Suburban,Married,Special Auto,Special L3,Offer2,Agent,Sports Car,Medsize,B
DR84620,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,SUV,Medsize,A
BG42047,Nevada,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,A
AF41118,California,No,Extended,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Small,B
QQ25666,Arizona,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Medsize,A
OK31456,California,Yes,Premium,Bachelor,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Agent,Luxury Car,Medsize,B
VZ18907,Unknown,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Large,B
YU79270,Arizona,No,Basic,College,Medical Leave,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,A
WK18603,California,No,Basic,Doctor,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,B
JK90180,Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,B
KC22636,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Large,A
SO43919,California,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
